keyword,source_seed_group,avg_monthly_searches,competition,top_of_page_bid_low,top_of_page_bid_high,notes
sillas de oficina baratas,office,500,高,4.12,46.80,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorios de madera,office,50000,高,2.24,20.12,review: requires page-role and SERP-intent filtering before use
sillas de escritorio baratas,office,5000,高,1.32,16.02,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorio madera,office,5000,高,2.91,19.95,review: requires page-role and SERP-intent filtering before use
archiveros para oficina,office,5000,高,8.18,60.51,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla escritorio blanca,office,5000,高,1.68,13.02,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorios baratos,office,5000,高,0.91,10.70,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
archivero metalico,office,5000,高,5.88,197.94,review: requires page-role and SERP-intent filtering before use
cajonera escritorio,office,5000,高,2.05,18.70,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla escritorio ergonomica,office,5000,高,4.15,31.54,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
archivadores de oficina,office,5000,高,2.98,19.29,review: requires page-role and SERP-intent filtering before use
escritorios en l,office,50000,高,1.60,22.37,review: requires page-role and SERP-intent filtering before use
mesa de oficina,office,5000,高,5.94,115.33,review: requires page-role and SERP-intent filtering before use
mesa despacho,office,50,中,,,review: requires page-role and SERP-intent filtering before use
silla secretarial,office,5000,高,5.76,77.35,review: requires page-role and SERP-intent filtering before use
sillas ejecutivas para oficina,office,500,高,17.28,229.19,review: requires page-role and SERP-intent filtering before use
cajonera oficina,office,5000,高,4.62,32.84,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla herman miller,office,5000,高,3.19,28.68,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla despacho,office,50,高,4.11,150.05,review: requires page-role and SERP-intent filtering before use
mobiliario para oficina,office,5000,高,18.94,287.00,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
silla giratoria,office,5000,高,1.57,26.88,review: requires page-role and SERP-intent filtering before use
silla oficina blanca,office,500,高,4.22,39.19,review: requires page-role and SERP-intent filtering before use
sillas para oficina economicas,office,5000,高,4.71,42.35,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa de reuniones,office,5000,高,9.15,35.81,review: requires page-role and SERP-intent filtering before use
escritorio minimalista,office,5000,高,3.02,26.52,review: requires page-role and SERP-intent filtering before use
silla ordenador,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorio ejecutivo,office,5000,高,11.92,174.66,review: requires page-role and SERP-intent filtering before use
mesa reuniones,office,500,高,9.01,35.05,review: requires page-role and SERP-intent filtering before use
armario oficina,office,500,高,5.11,26.16,review: requires page-role and SERP-intent filtering before use
mesa escritorio elevable,office,50,高,3.58,20.70,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas sala de espera,office,5000,高,5.77,39.68,review: requires page-role and SERP-intent filtering before use
sillas confidente,office,500,低,15.78,43.28,review: requires page-role and SERP-intent filtering before use
sillas de escritorio ergonómicas,office,5000,高,2.61,27.04,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas secretariales,office,5000,高,12.08,94.42,review: requires page-role and SERP-intent filtering before use
sillon ejecutivo,office,5000,高,6.14,57.44,review: requires page-role and SERP-intent filtering before use
silla ejecutiva ergonomica,office,5000,高,6.61,76.24,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla razer,office,5000,高,2.21,8.93,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorio regulable,office,5000,高,3.54,19.31,review: requires page-role and SERP-intent filtering before use
sillas para sala de espera,office,5000,高,6.39,63.85,review: requires page-role and SERP-intent filtering before use
muebles de oficina modernos,office,500,高,7.47,33.43,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
escritorio a medida,office,500,高,5.88,24.73,review: requires page-role and SERP-intent filtering before use
mesas despacho,office,50,中,,,review: requires page-role and SERP-intent filtering before use
sillas de despacho,office,50,高,5.92,51.48,review: requires page-role and SERP-intent filtering before use
mesas de despacho,office,50,中,7.16,310.94,review: requires page-role and SERP-intent filtering before use
sillas de estudio,office,500,高,1.89,28.07,review: requires page-role and SERP-intent filtering before use
silla escritorio sin ruedas,office,500,高,2.05,13.35,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas de espera,office,5000,高,6.17,53.78,review: requires page-role and SERP-intent filtering before use
mueble recepcion,office,5000,高,6.81,63.54,review: requires page-role and SERP-intent filtering before use
sillas escritorio baratas,office,50,高,1.79,15.98,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
muebles oficina segunda mano,office,50,高,5.89,22.81,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla de escritorio blanca,office,5000,高,1.88,15.73,review: requires page-role and SERP-intent filtering before use
silla steelcase,office,5000,高,3.97,48.07,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla escritorio rosa,office,5000,高,1.47,10.14,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas oficina baratas,office,50,高,3.99,36.82,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla estudio,office,500,高,3.28,23.96,review: requires page-role and SERP-intent filtering before use
mueble archivador,office,5000,高,3.68,21.88,review: requires page-role and SERP-intent filtering before use
mesa escritorio barata,office,50,高,1.10,8.53,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla escritorio infantil,office,500,高,1.49,7.63,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillones para oficina,office,5000,高,6.60,59.19,review: requires page-role and SERP-intent filtering before use
sillas ergonomicas para escritorio,office,5000,高,4.10,36.81,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla gerencial,office,5000,高,2.54,18.51,review: requires page-role and SERP-intent filtering before use
muebles de oficina baratos,office,50,高,4.90,27.07,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
armario archivador,office,500,高,5.68,37.30,review: requires page-role and SERP-intent filtering before use
muebles de escritorio,office,5000,高,1.50,21.92,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
muebles de oficina segunda mano,office,50,高,7.64,38.59,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa escritorio blanca,office,500,高,1.27,11.83,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas de ordenador,office,50,高,,,review: requires page-role and SERP-intent filtering before use
archivador carpetas colgantes,office,50,高,4.46,31.39,review: requires page-role and SERP-intent filtering before use
muebles de recepcion,office,5000,高,8.44,127.18,review: requires page-role and SERP-intent filtering before use
mobiliario de escritorio,office,50,中,,,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas de trabajo,office,5000,高,5.41,94.20,review: requires page-role and SERP-intent filtering before use
mesa escritorio cristal,office,50,高,5.05,15.23,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas director,office,500,高,1.92,15.74,review: requires page-role and SERP-intent filtering before use
silla escritorio juvenil,office,500,高,1.82,12.84,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla con reposabrazos,office,500,高,2.02,20.69,review: requires page-role and SERP-intent filtering before use
muebles para oficina modernos,office,500,高,7.26,37.58,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
escritorios grandes,office,5000,高,1.92,26.29,review: requires page-role and SERP-intent filtering before use
mesa sala de juntas,office,5000,高,13.42,389.44,review: requires page-role and SERP-intent filtering before use
sillas para oficina walmart,office,500,高,2.70,27.13,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
estanteria oficina,office,500,高,4.29,29.35,review: requires page-role and SERP-intent filtering before use
escritorios economicos,office,500,高,0.96,8.95,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa de reuniones oficina,office,500,高,7.07,30.19,review: requires page-role and SERP-intent filtering before use
amazon sillas oficina,office,500,高,4.15,31.21,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesas para oficina,office,500,高,9.31,138.33,review: requires page-role and SERP-intent filtering before use
sillas para sala de juntas,office,500,高,15.95,325.32,review: requires page-role and SERP-intent filtering before use
muebles despacho,office,50,高,17.42,356.53,review: requires page-role and SERP-intent filtering before use
mesa de juntas oficina,office,500,高,15.88,213.29,review: requires page-role and SERP-intent filtering before use
silla gaming barata,office,5000,高,1.12,7.99,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
archivador oficina,office,500,高,3.36,17.54,review: requires page-role and SERP-intent filtering before use
silla de oficina con ruedas,office,500,高,1.81,49.92,review: requires page-role and SERP-intent filtering before use
escritorio con ruedas,office,500,高,1.60,16.05,review: requires page-role and SERP-intent filtering before use
silla ergonomica rodillas,office,500,高,2.95,23.66,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
ruedas para sillas de oficina,office,500,高,0.76,10.56,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
muebles oficina baratos,office,50,高,2.47,32.62,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
cajonera para escritorio,office,5000,高,2.07,16.60,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla escritorio beige,office,500,高,2.55,14.80,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla para computadora,office,5000,高,1.10,16.79,review: requires page-role and SERP-intent filtering before use
mesa redonda oficina,office,500,高,8.93,67.80,review: requires page-role and SERP-intent filtering before use
sillas de espera para oficina,office,500,高,5.48,37.74,review: requires page-role and SERP-intent filtering before use
silla de oficina blanca,office,500,高,2.87,51.73,review: requires page-role and SERP-intent filtering before use
muebles de oficina usados,office,500,高,5.84,33.55,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa para sala de juntas,office,500,高,15.70,368.01,review: requires page-role and SERP-intent filtering before use
escritorio con librero,office,5000,高,1.60,26.52,review: requires page-role and SERP-intent filtering before use
sillas escritorio amazon,office,500,高,4.15,23.96,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mobiliario oficina segunda mano,office,50,中,2.25,16.28,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
sillas de oficina amazon,office,500,高,4.15,52.04,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
armario archivador oficina,office,50,高,4.00,37.57,review: requires page-role and SERP-intent filtering before use
sillas de visita para oficina,office,500,高,10.56,114.60,review: requires page-role and SERP-intent filtering before use
escritorios de oficina modernos,office,500,高,5.53,42.77,review: requires page-role and SERP-intent filtering before use
silla escritorio gris,office,500,高,2.35,16.67,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
archivadores metalicos,office,5000,高,2.91,17.23,review: requires page-role and SERP-intent filtering before use
silla trabajo,office,500,高,4.37,40.55,review: requires page-role and SERP-intent filtering before use
venta de sillas para oficina,office,500,高,8.33,58.36,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla alta oficina,office,500,高,7.96,87.84,review: requires page-role and SERP-intent filtering before use
escritorios para oficina economicos,office,500,高,3.28,33.53,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorios para pc,office,5000,高,0.82,9.48,review: requires page-role and SERP-intent filtering before use
silla oficina sin ruedas,office,500,高,4.71,30.16,review: requires page-role and SERP-intent filtering before use
mesa escritorio madera,office,500,高,3.08,18.39,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorio gris,office,500,高,2.52,16.19,review: requires page-role and SERP-intent filtering before use
mesa oficina elevable,office,50,高,5.64,78.33,review: requires page-role and SERP-intent filtering before use
mueble archivador oficina,office,500,高,3.01,27.70,review: requires page-role and SERP-intent filtering before use
sillas oficina outlet,office,50,高,8.12,51.68,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
archivero de oficina,office,500,高,7.76,131.76,review: requires page-role and SERP-intent filtering before use
mobiliario de oficina outlet,office,50,高,12.93,59.54,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
muebles para oficina baratos,office,500,高,5.73,31.85,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorios con cajones,office,500,高,1.72,20.69,review: requires page-role and SERP-intent filtering before use
mesas de oficina baratas,office,50,高,6.75,47.20,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa escritorio pequeña,office,500,高,0.98,8.32,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla de visita,office,5000,高,9.74,178.88,review: requires page-role and SERP-intent filtering before use
escritorio ergonomico,office,5000,高,3.26,22.41,review: requires page-role and SERP-intent filtering before use
mobiliario de oficina segunda mano,office,50,中,6.74,50.09,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
armario oficina con llave,office,50,高,9.65,29.24,review: requires page-role and SERP-intent filtering before use
makro sillas oficina,office,50,中,0.58,9.61,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla computador,office,5000,高,1.36,13.14,review: requires page-role and SERP-intent filtering before use
escritorio en forma de l,office,5000,高,1.60,35.24,review: requires page-role and SERP-intent filtering before use
silla despacho ergonomica,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
silla de computadora,office,500,高,1.46,17.97,review: requires page-role and SERP-intent filtering before use
sillas de escritorio sin ruedas,office,500,高,1.86,16.90,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
archiveros de madera,office,500,高,5.81,59.48,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
coppel sillas de oficina,office,500,高,2.02,24.30,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorio despacho,office,50,高,6.64,103.52,review: requires page-role and SERP-intent filtering before use
armario de oficina,office,500,高,8.38,26.41,review: requires page-role and SERP-intent filtering before use
sillas recepcion,office,500,高,7.07,74.08,review: requires page-role and SERP-intent filtering before use
escritorio oferta,office,5000,高,0.62,5.76,review: requires page-role and SERP-intent filtering before use
escritorio gerencial,office,5000,高,5.60,28.20,review: requires page-role and SERP-intent filtering before use
silla giratoria oficina,office,500,高,2.44,36.72,review: requires page-role and SERP-intent filtering before use
sillas escritorio sodimac,office,5000,高,0.91,8.97,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
sillas para escritorio juvenil,office,500,高,1.26,18.09,review: requires page-role and SERP-intent filtering before use
silla oficina negra,office,500,高,6.25,48.56,review: requires page-role and SERP-intent filtering before use
escritorio alto,office,500,高,1.82,24.24,review: requires page-role and SERP-intent filtering before use
mobiliario y equipo de oficina,office,500,高,43.90,798.66,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
mesas de escritorio baratas,office,500,高,0.95,11.65,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
sillas para recepcion,office,500,高,8.37,96.06,review: requires page-role and SERP-intent filtering before use
ruedas silla oficina,office,500,高,0.95,8.27,review: requires page-role and SERP-intent filtering before use
venta de muebles de oficina,office,500,中,11.36,218.54,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
escritorios en walmart,office,500,高,2.67,14.62,review: requires page-role and SERP-intent filtering before use
escritorio de melamina,office,50000,高,0.34,6.35,review: requires page-role and SERP-intent filtering before use
archivador con llave,office,500,高,1.38,14.30,review: requires page-role and SERP-intent filtering before use
escritorio recepcion,office,500,高,8.64,112.59,review: requires page-role and SERP-intent filtering before use
sillas de confidente,office,50,低,23.96,37.20,review: requires page-role and SERP-intent filtering before use
silla de escritorio rosa,office,5000,高,1.28,10.09,review: requires page-role and SERP-intent filtering before use
silla ergohuman,office,500,高,4.48,29.48,review: requires page-role and SERP-intent filtering before use
mejor silla ergonomica,office,500,高,6.30,35.73,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesas de oficina segunda mano,office,50,低,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
sillas de oficina mercado libre,office,500,高,7.03,70.68,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
muebles para recepcion,office,5000,高,7.63,111.75,review: requires page-role and SERP-intent filtering before use
archivadores para oficina,office,500,高,4.76,19.21,review: requires page-role and SERP-intent filtering before use
mesa oficina blanca,office,50,高,,,review: requires page-role and SERP-intent filtering before use
escritorios para cuartos,office,5000,高,1.28,14.37,review: requires page-role and SERP-intent filtering before use
escritorios modernos para oficina,office,500,高,6.31,60.06,review: requires page-role and SERP-intent filtering before use
silla visita,office,500,高,8.34,45.63,review: requires page-role and SERP-intent filtering before use
sillas comodas para escritorio,office,500,高,2.37,33.54,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorios home office,office,5000,高,2.50,21.72,review: requires page-role and SERP-intent filtering before use
mini escritorio,office,500,高,1.13,9.97,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorio metalico,office,5000,高,2.80,37.06,review: requires page-role and SERP-intent filtering before use
silla escritorio con ruedas,office,500,高,1.46,15.75,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
venta de sillas de oficina,office,500,高,8.16,55.26,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mejores sillas oficina,office,50,高,9.62,67.99,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorios l,office,5000,高,1.69,23.88,review: requires page-role and SERP-intent filtering before use
sillas de oficina sin ruedas,office,500,高,6.64,59.56,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesas oficina segunda mano,office,50,低,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
mesa multipuesto,office,50,中,,,review: requires page-role and SERP-intent filtering before use
sillas de escritorio amazon,office,500,高,2.54,18.06,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
sillas de oficina walmart,office,500,高,3.49,38.34,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesas de juntas,office,5000,高,11.35,390.09,review: requires page-role and SERP-intent filtering before use
mesa reuniones oficina,office,50,高,9.75,64.51,review: requires page-role and SERP-intent filtering before use
silla de oficina walmart,office,500,高,2.69,23.14,review: requires page-role and SERP-intent filtering before use
sillas de escritorio sodimac,office,5000,高,0.37,6.12,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
sillas pc,office,500,高,1.35,12.72,review: requires page-role and SERP-intent filtering before use
escritorios modernos para casa,office,500,高,1.92,10.75,review: requires page-role and SERP-intent filtering before use
pm steele muebles de oficina,office,50,高,18.50,66.13,keep/review: LatAm Spanish wording with potential B2B or project-furniture fit
silla escritorio oferta,office,500,高,0.75,8.00,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorios de madera modernos,office,500,高,3.65,23.12,review: requires page-role and SERP-intent filtering before use
sillas oficina segunda mano,office,50,低,2.24,14.70,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
las mejores sillas de oficina,office,50,高,9.64,49.92,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla escritorio comoda,office,500,高,2.53,21.59,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
muebles de despacho,office,50,高,,,review: requires page-role and SERP-intent filtering before use
mesas oficina baratas,office,50,低,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla de escritorio walmart,office,500,高,2.58,23.96,review: requires page-role and SERP-intent filtering before use
escritorio ejecutivo para oficina,office,500,高,12.36,169.35,review: requires page-role and SERP-intent filtering before use
sillas operativas,office,500,高,10.23,77.67,review: requires page-role and SERP-intent filtering before use
cajonera archivador,office,500,高,3.00,26.40,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
silla despacho blanca,office,50,低,,,review: requires page-role and SERP-intent filtering before use
sillas de escritorio mercado libre,office,5000,高,1.91,16.55,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
silla escritorio diseño,office,50,高,4.26,27.93,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
estanteria escritorio,office,500,高,1.93,10.06,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
escritorio mesa,office,5000,高,1.24,17.54,review: requires page-role and SERP-intent filtering before use
reposapies escritorio,office,500,高,1.60,13.08,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas sala de reuniones,office,500,高,11.73,41.75,review: requires page-role and SERP-intent filtering before use
sillones ejecutivos para oficina,office,500,高,10.81,72.35,review: requires page-role and SERP-intent filtering before use
silla de oficina ergonómica,office,500,高,4.37,32.90,review: requires page-role and SERP-intent filtering before use
mesa despacho cristal,office,50,未知,,,review: requires page-role and SERP-intent filtering before use
silla home office,office,500,高,4.33,33.54,review: requires page-role and SERP-intent filtering before use
escritorios de vidrio,office,5000,高,0.84,10.23,review: requires page-role and SERP-intent filtering before use
silla escritorio negra,office,500,高,1.86,17.42,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mejores sillas de escritorio,office,500,高,5.99,29.75,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
mesa sala reuniones,office,50,高,7.67,28.21,review: requires page-role and SERP-intent filtering before use
mesas de trabajo oficina,office,500,高,11.63,223.53,review: requires page-role and SERP-intent filtering before use
sillas ortopedicas para oficina,office,500,高,3.00,25.24,review: requires page-role and SERP-intent filtering before use
sillas reuniones,office,50,高,9.16,30.52,review: requires page-role and SERP-intent filtering before use
silla escritorio reclinable,office,500,高,2.47,13.42,review: high LatAm volume but likely retail/single-item office furniture; use only with B2B qualifier or catalog child context
sillas confidente baratas,office,50,高,,,"reject: retail, price, brand, local-only, or used-market intent; LatAm Spanish data retained but not for Hymueble main SEO"
