keyword,target_url,priority,keyword_type,length_type,reason
fabricante de muebles en China,/fabrica/,P0,工厂词,长尾,当前首页与工厂页需拆分的工厂词
fabricante de muebles a medida,/fabrica/,P0,工厂词,长尾,定制制造意图
fabricante de mobiliario para proyectos,/fabrica/,P0,工厂词,长尾,项目型制造商定位
proveedor de mobiliario comercial,/fabrica/,P0,供应商词,长尾,跨行业供应商词
muebles directo de fábrica China,/fabrica/,P1,工厂词,长尾,工厂直供采购词
control de calidad de muebles,/fabrica/,P2,信息词,长尾,可作辅助内容词
embalaje para exportación de muebles,/fabrica/,P2,信息词,长尾,出口交付证明词
fabricación de muebles para exportación,/fabrica/,P1,工厂词,长尾,出口型工厂意图
solicitar cotización de muebles,/contacto/,P0,转化词,长尾,联系页主转化词
cotizar proyecto de mobiliario,/contacto/,P0,转化词,长尾,项目询价意图强
cotización de mobiliario,/contacto/,P0,转化词,中尾,通用转化词
cotización de muebles para hotel,/contacto/,P0,转化词,长尾,酒店询价高优先
cotización de muebles de oficina,/contacto/,P1,转化词,长尾,办公询价高相关
proveedor de mobiliario para proyectos,/contacto/,P0,供应商词,长尾,联系页可承接供应商询盘
enviar proyecto de mobiliario por WhatsApp,/contacto/,P2,转化词,长尾,低摩擦 WhatsApp 转化词
catálogos de mobiliario para proyectos,/catalogo/,P0,产品目录词,长尾,目录聚合页主词
catálogo de mobiliario comercial,/catalogo/,P1,产品目录词,长尾,跨行业目录词
catálogo de muebles para proyectos,/catalogo/,P1,产品目录词,长尾,项目采购目录词
catálogos de muebles para empresas,/catalogo/,P1,产品目录词,长尾,企业采购目录词
proyectos de mobiliario,/proyectos/,P1,案例词,中尾,项目聚合页基础词
proyectos de mobiliario de oficina,/proyectos/oficinas/,P1,案例词,长尾,办公案例页主方向
proyectos de mobiliario hospitalario,/proyectos/salud/,P1,案例词,长尾,医疗案例页主方向
proyectos de mobiliario escolar,/proyectos/educacion/,P1,案例词,长尾,教育案例页主方向
mobiliario hospitalario,/salud/,P1,行业词,短尾,医疗行业页核心词
muebles hospitalarios,/salud/,P1,行业词,短尾,医疗采购大词
mobiliario para consultorios médicos,/catalogo/salud/consultorios-medicos/,P1,产品细分类词,长尾,医疗小类精准
estaciones de enfermería,/catalogo/salud/estaciones-de-enfermeria/,P1,产品细分类词,中尾,医疗小类精准
mobiliario para laboratorios clínicos,/catalogo/salud/laboratorios-y-areas-clinicas/,P2,产品细分类词,长尾,临床/实验室意图需验证
mobiliario para cuidados y recuperación,/catalogo/salud/cuidados-y-recuperacion/,P2,产品细分类词,长尾,语义偏宽需验证
muebles para habitaciones hospitalarias,/catalogo/salud/hospitalizacion-y-habitaciones/,P1,产品细分类词,长尾,医疗病房采购词
mobiliario escolar,/educacion/,P1,行业词,短尾,教育行业页核心词
muebles escolares,/educacion/,P1,行业词,短尾,教育采购大词
muebles para escuelas,/educacion/,P1,行业词,中尾,学校采购词
mobiliario para aulas escolares,/catalogo/educacion/aulas-escolares/,P1,产品细分类词,长尾,教育小类精准
mobiliario para bibliotecas escolares,/catalogo/educacion/bibliotecas/,P1,产品细分类词,长尾,教育小类精准
mobiliario para laboratorios educativos,/catalogo/educacion/laboratorios-y-steam/,P1,产品细分类词,长尾,实验室采购词
mobiliario para aulas STEAM,/catalogo/educacion/laboratorios-y-steam/,P2,产品细分类词,长尾,STEAM 词需验证地区表达
mobiliario para comedores escolares,/catalogo/educacion/comedores-escolares/,P1,产品细分类词,长尾,教育小类精准
mobiliario para desarrollos residenciales,/residencial/,P1,行业词,长尾,住宅开发项目词
muebles para proyectos residenciales,/residencial/,P1,行业词,长尾,住宅项目词
muebles para unidades modelo,/residencial/,P1,产品细分类词,长尾,开发商样板间需求
mobiliario para apartamentos de lujo,/catalogo/residencial/penthouses-y-apartamentos-de-lujo/,P2,产品细分类词,长尾,可能偏零售需验证
muebles para apartamentos de lujo,/catalogo/residencial/penthouses-y-apartamentos-de-lujo/,P2,产品细分类词,长尾,高风险分类替代词
muebles para villas de lujo,/catalogo/residencial/villas-y-mansiones/,P2,产品细分类词,长尾,高端住宅词需防零售化
